#sub_xx xx_msas pdb
sub_0 0_msas 1cee_B
sub_0 10_msas 1k0n_A
sub_0 11_msas 1kct_A
sub_0 12_msas 1miq_B
sub_0 13_msas 1mnm_C
sub_0 14_msas 1mnm_D
sub_0 15_msas 1noc_A
sub_0 16_msas 1nqd_A
sub_0 17_msas 1nqj_B
sub_0 18_msas 1nrj_B
sub_0 19_msas 1ova_A
sub_0 1_msas 1dzl_A
sub_0 2_msas 1ebo_E
sub_0 4_msas 1fzp_D
sub_0 5_msas 1g2c_F
sub_0 6_msas 1h38_D
sub_0 7_msas 1iyt_A
sub_0 8_msas 1jfk_A
sub_0 9_msas 1jti_B
sub_1 0_msas 1qb3_A
sub_1 10_msas 1wp8_C
sub_1 12_msas 1wyy_B
sub_1 13_msas 1x0g_A
sub_1 14_msas 1x0g_D
sub_1 15_msas 1xez_A
sub_1 16_msas 1xjt_A
sub_1 17_msas 1xju_B
sub_1 18_msas 1xnt_A
sub_1 19_msas 1xtg_B
sub_1 1_msas 1qln_A
sub_1 2_msas 1qom_B
sub_1 3_msas 1qs8_B
sub_1 5_msas 1rep_C
sub_1 6_msas 1rk4_B
sub_1 7_msas 1rkp_A
sub_1 8_msas 1svf_C
sub_1 9_msas 1uxm_K
sub_2 0_msas 1zk9_A
sub_2 10_msas 2h44_A
sub_2 11_msas 2hdm_A
sub_2 12_msas 2jmr_A
sub_2 13_msas 2k0q_A
sub_2 14_msas 2k42_A
sub_2 15_msas 2kb8_A
sub_2 16_msas 2kkw_A
sub_2 17_msas 2kxo_A
sub_2 1_msas 2a73_B
sub_2 2_msas 2axz_A
sub_2 3_msas 2bzy_B
sub_2 7_msas 2frh_A
sub_2 8_msas 2ged_B
sub_2 9_msas 2grm_B
sub_3 0_msas 2lel_A
sub_3 10_msas 2nnt_A
sub_3 11_msas 2nxq_B
sub_3 12_msas 2p3v_A
sub_3 13_msas 2p3v_D
sub_3 14_msas 2pbk_B
sub_3 15_msas 2qqj_A
sub_3 16_msas 2uy7_D
sub_3 17_msas 2vfx_L
sub_3 18_msas 2wcd_X
sub_3 19_msas 2z9o_B
sub_3 1_msas 2lep_A
sub_3 3_msas 2lqw_A
sub_3 4_msas 2lv1_A
sub_3 5_msas 2mwf_A
sub_3 6_msas 2n0a_D
sub_3 7_msas 2n54_B
sub_3 8_msas 2nam_A
sub_3 9_msas 2nao_F
sub_4 0_msas 3ejh_A
sub_4 10_msas 3j9c_A
sub_4 11_msas 3jv6_A
sub_4 14_msas 3kuy_A
sub_4 15_msas 3l5n_B
sub_4 16_msas 3l9q_B
sub_4 17_msas 3low_A
sub_4 18_msas 3lqc_A
sub_4 19_msas 3m1b_F
sub_4 3_msas 3gmh_L
sub_4 4_msas 3hde_A
sub_4 5_msas 3hdf_A
sub_4 7_msas 3j7v_G
sub_4 8_msas 3j7w_B
sub_4 9_msas 3j97_M
sub_5 0_msas 3m7p_A
sub_5 12_msas 3ztj_E
sub_5 13_msas 3zwg_N
sub_5 14_msas 3zxg_B
sub_5 15_msas 4a5w_B
sub_5 18_msas 4ae0_A
sub_5 19_msas 4b3o_B
sub_5 1_msas 3mee_A
