Wavelength (nm)	Variant 1	Variant 2	Variant 3	Variant 4	Variant 5	Variant 6	Variant 7	Variant 8	Variant 9	Variant 10	NIH-13
260	80.5355863	88.79424547	91.96279524	184.6017053	-80.53354527	-15.44976592	-24.01241089	58.10923864	62.61892042	30.46174864	-102.5478444
259	57.675659	57.48019239	131.2513333	173.3311167	-89.43227366	-32.56051392	-9.90526703	43.36798939	59.17356908	70.58949577	-86.26989889
258	76.83723358	86.28659308	101.8053708	123.7820529	-86.38182922	12.24007316	-9.071678403	52.86101553	49.67682668	25.48538276	-100.0590056
257	98.01879551	56.74412901	125.755001	156.5065455	-27.09907407	-3.926232054	9.838664247	6.242957197	45.03856883	73.48987191	-104.9441556
256	71.67219509	92.36897136	131.3522317	149.3644725	-85.04259671	-21.880279	-30.98199165	-11.32388068	35.68876294	35.77649534	-97.40723333
255	51.24250116	48.02073437	82.90735651	139.6624035	-79.77359877	-31.42095495	-55.84875185	-19.23945644	48.39588646	19.50417839	-80.34946667
254	49.67675103	80.52621893	85.57813397	102.2157645	-76.65600617	-62.59774833	-52.27759915	-29.86430417	39.19273218	20.61962985	-83.21718333
253	67.09284559	20.17986075	11.28036032	62.189319	-123.3356934	-58.52150396	-48.13853128	-16.19369697	48.57669031	-47.38619199	-133.8681722
252	62.1366082	27.89857659	41.54524444	99.9200025	-141.4624959	-86.75566507	-64.61671313	-19.72133977	28.28812719	45.84311102	-149.8295556
251	20.78225199	-6.942691802	-9.239193651	79.358043	-150.9985988	-106.7212325	-70.38512535	-77.6780072	1.787739411	-7.231913852	-162.0920944
250	71.76867273	-19.34128022	-37.10653651	69.3999885	-161.1997881	-149.4365744	-81.95893962	-22.8928572	35.35058817	-10.61108573	-146.3815556
249	-8.808957714	-41.73057147	-27.29648571	-24.5700255	-186.8791584	-188.1753691	-130.6288178	-94.96991477	-10.70578131	-5.551571034	-206.1043889
248	-31.39423178	-80.51182015	-94.02915714	-16.254057	-231.955284	-223.3478289	-171.5721408	-124.7511356	-29.39941022	-35.95594552	-227.9807778
247	-87.92707902	-105.0522997	-154.5887016	-92.379816	-296.2778807	-315.7053044	-232.7720891	-203.7229769	-71.78770879	-130.4328442	-280.7816667
246	-120.198666	-181.8182803	-219.557354	-138.9809505	-381.7201687	-369.816152	-279.5064819	-237.4113803	-116.5541994	-147.8733701	-277.6638333
245	-199.0738256	-254.4760254	-274.8827492	-207.076971	-464.7184774	-488.1808244	-366.2606111	-324.3781042	-151.2484521	-128.9378354	-336.647
244	-269.3393347	-308.5792998	-411.5193444	-301.166553	-561.1341584	-609.6814174	-435.5208661	-389.8111386	-214.7594972	-235.5576047	-357.6190556
243	-352.5343295	-423.2361777	-531.5801746	-411.945177	-693.1404897	-744.4614697	-594.2342437	-506.3491091	-331.5102767	-342.3609596	-461.5142778
242	-452.6759249	-589.313951	-688.0296825	-495.056076	-930.2645823	-918.0805223	-714.9978404	-626.9207754	-406.2933393	-436.2303268	-505.3240556
241	-554.6423136	-732.5138452	-900.5703095	-672.221025	-1095.077047	-1132.371478	-896.0626693	-777.9572117	-544.5792562	-628.2660821	-574.0867222
240	-711.1407915	-881.0375125	-1119.141056	-804.63906	-1338.915955	-1375.282557	-1159.375296	-959.596261	-710.6987088	-697.0530902	-671.7138889
239	-828.8579946	-1096.436764	-1368.282905	-1018.257585	-1651.162305	-1636.875246	-1385.65277	-1172.845497	-898.6189669	-864.3115783	-770.6444444
238	-1023.312463	-1282.498639	-1702.889468	-1248.219068	-1965.657051	-1983.218376	-1730.950156	-1348.184186	-1096.56766	-979.9277256	-924.3033333
237	-1185.286163	-1586.984803	-1983.569119	-1481.039678	-2385.695364	-2360.98224	-2133.916172	-1623.29123	-1377.243103	-1192.722396	-1127.25
