2_004 : 0.23,0.27,0.25,0.24,0.25,0.25,0.23,0.25,0.24,0.22,0.24,0.26,0.26,0.25,0.22,0.24,0.25,0.25,0.25,0.23,0.27,0.23,0.25,0.26,0.24,0.23,0.24,0.25,0.26,0.24,0.22,0.25,0.27,0.25,0.25,0.25,0.26,0.26,0.25,0.24,0.25,0.29,0.25,0.22,0.24,0.26,0.23,0.23,0.21,0.25,
2_U10-003 : 0.24,0.24,0.25,0.23,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.24,0.25,0.24,0.25,0.24,0.23,0.25,0.25,0.25,0.23,0.25,0.24,0.24,0.24,0.27,0.24,0.25,0.24,0.23,0.23,0.24,0.23,0.25,0.25,0.24,0.24,0.24,0.23,0.24,
2_027 : 0.23,0.26,0.25,0.24,0.25,0.25,0.23,0.26,0.29,0.28,0.25,0.29,0.23,0.26,0.23,0.25,0.24,0.22,0.24,0.23,0.22,0.24,0.24,0.25,0.26,0.23,0.24,0.25,0.26,0.27,0.26,0.26,0.27,0.25,0.26,0.26,0.23,0.22,0.29,0.26,0.25,0.25,0.23,0.26,0.29,0.22,0.29,0.26,0.26,0.21,
2_008 : 0.25,0.25,0.27,0.25,0.27,0.26,0.27,0.24,0.24,0.24,0.23,0.25,0.27,0.24,0.27,0.25,0.26,0.25,0.25,0.24,0.24,0.29,0.21,0.23,0.23,0.23,0.28,0.25,0.26,0.26,0.26,0.25,0.25,0.26,0.27,0.26,0.25,0.26,0.25,0.25,0.23,0.26,0.24,0.26,0.25,0.22,0.25,0.27,0.27,0.28,
2_050 : 0.24,0.25,0.23,0.23,0.25,0.24,0.26,0.25,0.25,0.25,0.22,0.25,0.22,0.23,0.25,0.25,0.23,0.26,0.23,0.21,0.23,0.25,0.25,0.25,0.25,0.28,0.25,0.24,0.24,0.24,0.22,0.25,0.21,0.23,0.25,0.25,0.26,0.25,0.23,0.24,0.23,0.24,0.25,0.23,0.25,0.25,0.22,0.24,0.23,0.22,
2_018 : 0.23,0.24,0.24,0.24,0.23,0.24,0.24,0.23,0.25,0.23,0.24,0.24,0.25,0.24,0.25,0.24,0.24,0.23,0.23,0.25,0.24,0.25,0.24,0.26,0.22,0.25,0.25,0.26,0.24,0.28,0.24,0.24,0.28,0.24,0.23,0.24,0.27,0.24,0.24,0.26,0.28,0.25,0.25,0.26,0.24,0.24,0.24,0.27,0.25,0.25,
2_U10-000 : 0.24,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.27,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.25,
2_028 : 0.26,0.25,0.25,0.24,0.27,0.26,0.25,0.24,0.25,0.26,0.25,0.27,0.25,0.28,0.27,0.26,0.23,0.26,0.24,0.27,0.25,0.26,0.27,0.26,0.24,0.29,0.27,0.27,0.26,0.25,0.26,0.23,0.26,0.25,0.24,0.26,0.24,0.24,0.26,0.24,0.26,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.23,0.25,
2_038 : 0.19,0.26,0.22,0.2,0.24,0.23,0.24,0.26,0.29,0.24,0.24,0.2,0.24,0.26,0.23,0.26,0.26,0.22,0.28,0.27,0.24,0.22,0.24,0.24,0.24,0.21,0.25,0.26,0.24,0.26,0.22,0.24,0.24,0.25,0.29,0.23,0.23,0.23,0.25,0.28,0.28,0.23,0.25,0.23,0.26,0.26,0.24,0.24,0.23,0.22,
2_046 : 0.24,0.25,0.28,0.25,0.24,0.24,0.3,0.26,0.24,0.24,0.26,0.25,0.26,0.26,0.24,0.23,0.25,0.31,0.26,0.27,0.24,0.27,0.26,0.26,0.25,0.28,0.21,0.26,0.27,0.27,0.27,0.22,0.26,0.19,0.27,0.23,0.26,0.26,0.25,0.24,0.26,0.23,0.25,0.26,0.21,0.27,0.27,0.23,0.25,0.23,
2_048 : 0.29,0.26,0.25,0.25,0.23,0.24,0.24,0.24,0.26,0.24,0.25,0.24,0.27,0.26,0.25,0.25,0.24,0.25,0.26,0.25,0.25,0.26,0.26,0.25,0.24,0.23,0.24,0.24,0.25,0.27,0.25,0.27,0.27,0.25,0.25,0.24,0.3,0.28,0.25,0.25,0.25,0.3,0.26,0.25,0.24,0.25,0.26,0.24,0.28,0.31,
2_014 : 0.25,0.26,0.25,0.28,0.26,0.28,0.24,0.29,0.25,0.25,0.24,0.25,0.25,0.26,0.25,0.24,0.25,0.24,0.24,0.24,0.28,0.26,0.25,0.27,0.24,0.26,0.25,0.26,0.24,0.25,0.23,0.24,0.25,0.23,0.27,0.24,0.25,0.26,0.24,0.25,0.27,0.27,0.27,0.27,0.28,0.25,0.24,0.26,0.24,0.23,
2_U10-004 : 0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.28,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.27,0.25,0.24,0.25,0.24,0.25,0.25,0.27,0.27,0.25,0.25,0.25,0.27,0.28,0.25,0.25,0.25,0.25,0.25,
2_022 : 0.26,0.28,0.2,0.24,0.27,0.24,0.26,0.25,0.22,0.24,0.28,0.29,0.24,0.28,0.26,0.29,0.24,0.24,0.26,0.29,0.27,0.25,0.27,0.29,0.26,0.25,0.24,0.24,0.28,0.25,0.25,0.25,0.23,0.22,0.3,0.27,0.21,0.24,0.24,0.24,0.28,0.24,0.27,0.23,0.25,0.29,0.25,0.29,0.21,0.23,
