2_004 : 0.42,0.33,0.29,0.39,0.39,0.44,0.47,0.46,0.37,0.3,0.38,0.29,0.35,0.44,0.31,0.32,0.37,0.29,0.35,0.33,0.36,0.26,0.32,0.44,0.39,0.41,0.31,0.41,0.33,0.34,0.28,0.42,0.3,0.31,0.36,0.3,0.41,0.39,0.48,0.38,0.36,0.3,0.35,0.35,0.31,0.3,0.31,0.34,0.28,0.44,
2_U10-003 : 0.75,0.74,0.75,0.73,0.73,0.76,0.72,0.75,0.76,0.75,0.75,0.75,0.59,0.75,0.74,0.74,0.73,0.75,0.75,0.73,0.74,0.75,0.75,0.73,0.76,0.73,0.73,0.73,0.76,0.73,0.73,0.73,0.62,0.75,0.75,0.68,0.74,0.74,0.75,0.73,0.72,0.74,0.74,0.76,0.74,0.75,0.65,0.75,0.74,0.73,
2_027 : 0.31,0.29,0.28,0.3,0.38,0.47,0.43,0.45,0.32,0.32,0.43,0.5,0.33,0.3,0.29,0.39,0.28,0.31,0.43,0.31,0.32,0.32,0.49,0.29,0.29,0.31,0.31,0.3,0.44,0.3,0.33,0.42,0.29,0.33,0.48,0.31,0.29,0.31,0.28,0.3,0.29,0.29,0.33,0.29,0.3,0.32,0.29,0.45,0.48,0.3,
2_008 : 0.53,0.33,0.29,0.33,0.46,0.51,0.32,0.46,0.29,0.32,0.34,0.53,0.37,0.36,0.28,0.52,0.32,0.39,0.35,0.44,0.31,0.29,0.26,0.28,0.29,0.29,0.3,0.31,0.34,0.29,0.53,0.28,0.3,0.34,0.34,0.35,0.35,0.3,0.34,0.38,0.27,0.52,0.36,0.42,0.33,0.3,0.32,0.27,0.36,0.29,
2_050 : 0.44,0.61,0.63,0.48,0.66,0.61,0.63,0.64,0.64,0.52,0.59,0.42,0.47,0.61,0.65,0.64,0.46,0.6,0.56,0.6,0.6,0.63,0.61,0.61,0.63,0.53,0.47,0.59,0.42,0.6,0.46,0.43,0.44,0.59,0.51,0.63,0.43,0.64,0.53,0.59,0.58,0.59,0.44,0.45,0.4,0.61,0.48,0.64,0.61,0.39,
2_018 : 0.52,0.58,0.61,0.6,0.59,0.6,0.64,0.62,0.75,0.59,0.66,0.63,0.4,0.61,0.74,0.64,0.66,0.72,0.58,0.73,0.66,0.65,0.59,0.68,0.68,0.65,0.69,0.68,0.66,0.6,0.59,0.63,0.6,0.61,0.62,0.67,0.6,0.58,0.62,0.61,0.61,0.66,0.73,0.75,0.59,0.58,0.69,0.63,0.67,0.63,
2_U10-000 : 0.75,0.76,0.76,0.76,0.77,0.74,0.75,0.75,0.76,0.76,0.75,0.75,0.75,0.75,0.76,0.76,0.74,0.74,0.76,0.76,0.75,0.76,0.75,0.76,0.74,0.75,0.76,0.62,0.76,0.75,0.77,0.75,0.76,0.76,0.76,0.77,0.75,0.75,0.75,0.75,0.74,0.76,0.76,0.74,0.76,0.76,0.75,0.76,0.76,0.77,
2_028 : 0.65,0.65,0.58,0.57,0.63,0.66,0.77,0.52,0.66,0.67,0.61,0.64,0.62,0.58,0.66,0.65,0.58,0.67,0.52,0.67,0.59,0.69,0.69,0.69,0.52,0.58,0.6,0.61,0.63,0.61,0.58,0.53,0.61,0.74,0.67,0.66,0.63,0.59,0.61,0.68,0.6,0.53,0.69,0.62,0.53,0.67,0.58,0.53,0.57,0.63,
2_038 : 0.25,0.35,0.29,0.29,0.31,0.32,0.28,0.35,0.34,0.38,0.3,0.3,0.31,0.26,0.32,0.32,0.32,0.31,0.36,0.33,0.3,0.3,0.3,0.27,0.3,0.38,0.33,0.31,0.33,0.33,0.29,0.4,0.33,0.36,0.36,0.4,0.29,0.31,0.33,0.31,0.31,0.33,0.32,0.34,0.27,0.34,0.32,0.27,0.3,0.38,
2_046 : 0.32,0.51,0.4,0.58,0.55,0.36,0.31,0.55,0.3,0.33,0.5,0.3,0.5,0.28,0.44,0.33,0.33,0.34,0.34,0.56,0.49,0.32,0.49,0.51,0.3,0.32,0.32,0.28,0.52,0.32,0.39,0.37,0.31,0.25,0.29,0.55,0.31,0.52,0.27,0.37,0.4,0.44,0.32,0.3,0.32,0.3,0.5,0.35,0.31,0.53,
