2_004 : 0.31,0.29,0.35,0.43,0.36,0.29,0.35,0.39,0.33,0.28,0.36,0.33,0.3,0.3,0.33,0.33,0.35,0.27,0.39,0.34,0.34,0.38,0.43,0.36,0.38,0.29,0.36,0.37,0.3,0.3,0.4,0.31,0.38,0.39,0.42,0.42,0.39,0.45,0.45,0.38,0.58,0.31,0.31,0.28,0.43,0.36,0.34,0.36,0.34,0.4,
2_U10-003 : 0.75,0.73,0.75,0.75,0.75,0.72,0.64,0.76,0.73,0.76,0.74,0.67,0.73,0.74,0.74,0.73,0.75,0.73,0.76,0.76,0.73,0.73,0.73,0.75,0.75,0.76,0.75,0.73,0.76,0.62,0.62,0.74,0.61,0.76,0.75,0.72,0.73,0.75,0.72,0.74,0.72,0.74,0.75,0.74,0.73,0.73,0.73,0.74,0.75,0.74,
2_027 : 0.32,0.28,0.32,0.26,0.25,0.39,0.29,0.29,0.49,0.3,0.27,0.32,0.52,0.47,0.31,0.31,0.27,0.29,0.31,0.33,0.31,0.31,0.32,0.29,0.33,0.47,0.27,0.29,0.39,0.28,0.28,0.3,0.38,0.27,0.31,0.3,0.29,0.3,0.27,0.36,0.29,0.34,0.49,0.35,0.46,0.29,0.32,0.26,0.41,0.39,
2_008 : 0.31,0.29,0.31,0.27,0.29,0.28,0.32,0.28,0.28,0.3,0.31,0.46,0.39,0.3,0.24,0.33,0.51,0.27,0.36,0.3,0.28,0.52,0.37,0.3,0.3,0.31,0.51,0.31,0.32,0.53,0.38,0.33,0.28,0.34,0.25,0.33,0.35,0.26,0.29,0.3,0.32,0.53,0.29,0.42,0.29,0.32,0.33,0.3,0.27,0.48,
2_050 : 0.58,0.6,0.6,0.41,0.48,0.44,0.53,0.63,0.68,0.62,0.59,0.61,0.63,0.51,0.37,0.58,0.59,0.59,0.61,0.39,0.58,0.49,0.41,0.61,0.61,0.48,0.42,0.49,0.59,0.61,0.62,0.43,0.41,0.41,0.54,0.6,0.47,0.66,0.61,0.5,0.6,0.67,0.51,0.53,0.63,0.4,0.61,0.57,0.62,0.55,
2_018 : 0.66,0.71,0.69,0.68,0.66,0.72,0.62,0.7,0.65,0.66,0.62,0.56,0.65,0.7,0.63,0.63,0.61,0.61,0.71,0.64,0.38,0.65,0.64,0.57,0.73,0.63,0.61,0.62,0.62,0.64,0.71,0.74,0.59,0.61,0.66,0.59,0.67,0.69,0.66,0.72,0.6,0.66,0.67,0.66,0.59,0.62,0.68,0.65,0.7,0.65,
2_U10-000 : 0.75,0.73,0.75,0.76,0.74,0.77,0.75,0.74,0.75,0.73,0.76,0.76,0.74,0.76,0.74,0.77,0.75,0.76,0.73,0.75,0.76,0.76,0.76,0.75,0.76,0.74,0.77,0.77,0.75,0.75,0.74,0.75,0.77,0.76,0.75,0.75,0.75,0.76,0.72,0.76,0.76,0.76,0.76,0.75,0.76,0.74,0.76,0.76,0.75,0.76,
2_028 : 0.64,0.65,0.68,0.66,0.54,0.6,0.66,0.62,0.65,0.63,0.73,0.63,0.47,0.61,0.64,0.61,0.71,0.58,0.65,0.57,0.62,0.7,0.6,0.64,0.59,0.61,0.59,0.61,0.6,0.71,0.65,0.63,0.58,0.63,0.54,0.65,0.63,0.6,0.66,0.65,0.62,0.6,0.59,0.6,0.51,0.63,0.63,0.64,0.6,0.59,
2_038 : 0.37,0.49,0.37,0.35,0.35,0.29,0.3,0.31,0.32,0.46,0.32,0.27,0.3,0.34,0.28,0.34,0.39,0.34,0.31,0.28,0.31,0.3,0.29,0.44,0.34,0.3,0.35,0.35,0.32,0.34,0.33,0.29,0.29,0.31,0.32,0.27,0.36,0.32,0.39,0.31,0.29,0.39,0.34,0.35,0.28,0.39,0.39,0.32,0.29,0.37,
2_046 : 0.31,0.34,0.34,0.31,0.3,0.3,0.33,0.33,0.53,0.27,0.5,0.55,0.32,0.49,0.48,0.28,0.32,0.33,0.31,0.3,0.33,0.28,0.37,0.3,0.31,0.3,0.41,0.53,0.52,0.51,0.38,0.37,0.28,0.32,0.31,0.32,0.31,0.32,0.32,0.33,0.29,0.29,0.28,0.28,0.32,0.37,0.31,0.31,0.31,0.28,
2_048 : 0.33,0.68,0.62,0.6,0.46,0.31,0.58,0.31,0.62,0.64,0.58,0.34,0.63,0.51,0.35,0.61,0.62,0.59,0.59,0.6,0.53,0.71,0.49,0.31,0.62,0.3,0.35,0.62,0.45,0.58,0.62,0.34,0.67,0.58,0.44,0.38,0.61,0.62,0.5,0.62,0.63,0.63,0.6,0.61,0.6,0.6,0.62,0.32,0.6,0.6,
2_014 : 0.65,0.61,0.59,0.59,0.69,0.69,0.62,0.56,0.61,0.59,0.58,0.56,0.58,0.56,0.6,0.61,0.59,0.62,0.6,0.64,0.57,0.68,0.56,0.57,0.64,0.55,0.63,0.69,0.59,0.63,0.53,0.66,0.6,0.59,0.67,0.58,0.6,0.58,0.56,0.66,0.6,0.57,0.61,0.72,0.62,0.57,0.58,0.66,0.6,0.6,
2_U10-004 : 0.76,0.76,0.76,0.67,0.62,0.75,0.76,0.75,0.75,0.74,0.76,0.76,0.77,0.75,0.73,0.64,0.75,0.77,0.74,0.74,0.76,0.75,0.75,0.75,0.72,0.74,0.61,0.75,0.77,0.76,0.76,0.76,0.75,0.75,0.76,0.75,0.75,0.76,0.76,0.74,0.76,0.75,0.75,0.74,0.74,0.74,0.71,0.75,0.75,0.62,
2_022 : 0.58,0.58,0.52,0.34,0.43,0.52,0.38,0.32,0.3,0.31,0.55,0.49,0.49,0.41,0.35,0.45,0.33,0.3,0.32,0.47,0.44,0.33,0.49,0.53,0.32,0.45,0.45,0.39,0.54,0.54,0.44,0.52,0.46,0.54,0.5,0.39,0.34,0.53,0.4,0.31,0.44,0.33,0.53,0.34,0.3,0.47,0.43,0.43,0.5,0.58,
2_035 : 0.32,0.3,0.28,0.46,0.29,0.36,0.33,0.4,0.34,0.28,0.35,0.38,0.45,0.3,0.24,0.29,0.31,0.32,0.3,0.44,0.35,0.37,0.38,0.32,0.31,0.32,0.33,0.29,0.29,0.32,0.34,0.31,0.33,0.31,0.32,0.33,0.32,0.31,0.33,0.34,0.36,0.32,0.31,0.33,0.45,0.34,0.32,0.35,0.31,0.3,
